code;name;Код зони за ДБН головний;Код зони за ДСТУ головний;Код зони за ДБН другорядний;Код зони за ДСТУ другорядний;Код землі основний;Код основний;Код землі другорядний;Код другорядний
2303.3;Споруди нафтохімічних та нафтопереробних підприємств;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2303.4;Споруди коксохімічних заводів;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2303.5;Споруди підприємств з виробництва продуктів основного органічного синтезу та синтетичного каучуку;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2303.6;Термінали для нафтопродуктів портові та прибережні;В-1…7;В-1…5;"ТР-1;ТР-1-2";ТР-2;"10.03;10.04;12.02;12.03";"1.20;6.1;1.14;1.14.4;1.14.5;3.2;3.2.4;3.2.5";11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5"
2303.9;Споруди підприємств хімічної промисловості інші;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2304.1;Споруди агломераційного та доменного виробництва;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2304.2;Споруди сталеплавильного виробництва;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2304.3;Споруди прокатного виробництва;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2304.4;Споруди трубного та метизного виробництва;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2304.5;Споруди феросплавного виробництва;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2304.6;Споруди вогнетривкого виробництва;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2304.7;Споруди підприємств кольорової металургії;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2304.9;Споруди підприємств металургійної промисловості інші;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2411.1;Стадіони та майданчики для занять спортом на відкритому повітрі;Г-4-1;Г-3;"Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7;Р-2;Р-3;Р-3-1;Р-3-2;Р-4;КЛ;КЛ-1;КЛ-2;КВТ;КВТ-1;КВТ-2";"Ж-1..5;Р-2;Р-3;Р-4;КС;КВТ";07.02;"1.12.7;1.17;4.3";"02.02;02.03;02.04;02.07;03.02";"1.9;1.13;1.13.1;1.13.2;1.13.3;1.12.3"
2411.2;Треки та поля для автомобільного, велосипедного та кінного спорту;Г-4-2;Г-4;"Р-2;Р-3;Р-3-1;Р-3-2;КВТ;КВТ-1;КВТ-2";"Р-2;Р-3;КВТ";07.02;1.12.7;07.01;"1.17;4.3"
2411.3;Споруди для занять водним спортом;Г-4-3;Г-5;"Р-2;КЛ;КЛ-1;КЛ-2;КВТ;КВТ-1;КВТ-2";"Р-2;КС;КВТ";"07.02;10.08";1.12.7;;"1.17;4.3"
2412.1;Споруди для морехідних видів спорту та відпочинку;Г-4-3;Г-5;"Р-2;КВТ;КВТ-1;КВТ-2";"Р-2;КВТ";"07.02;10.08";1.12.7;07.01;"1.17;4.3"
2412.2;Споруди для зимових та гірських видів спорту та відпочинку;Г-4-3;Г-5;"Р-2;КВТ;КВТ-1;КВТ-2";"Р-2;КВТ";07.02;1.12.7;07.01;"1.17;4.3"
2412.3;Льотні поля та поля для парашутного спорту;;;"ТР-1-4;Г-4-3";"ТР-2;Г-5";07.02;1.12.7;12.05;"1.14;1.14.6;3.2;3.2.6"
2412.4;Споруди кінних центрів;Г-4-3;Г-5;;;07.02;1.12.7;;
2412.5;Громадські сади та парки для розваг і відпочинку;"Р-3;Р-3-1";Р-3;;;18.00;;;1.12.9
2412.6;Споруди зоологічних та ботанічних садів;"Р-1;Г-3";"Р-1;Г-2";"Г-1;Г-2";Г-1;"04.04;04.05";"1.15;4.1";"03.02;03.11";"1.12.3;1.11.5"
2412.7;Майданчики для гри в гольф;Г-4-3;Г-5;;;07.02;1.12.7;07.01;"1.17;4.3"
2420.1;Військові випробувальні центри;С-2;С-4;;;"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.2;3.3";;
2420.2;Військові полігони та стрільбища;С-2;С-4;;;"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.2;3.3";;
2420.3;Військові інженерні фортифікаційні споруди;С-2;С-4;;;"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.2;3.3";;
2420.4;Космодроми та дільниці для запуску супутників;;;С-2;С-4;;;"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.2;3.3"
2420.5;Полігони складування побутових відходів;"КС-1;КС-2;КС-3;КС-4;КС-5;КС-6;КС-7";"КС-1;КС-2;КС-3;КС-4;КС-5";;;11.04;3.1.5;;
2420.6;Споруди по знешкодженню та захороненню шкідливих промислових відходів;"КС-1;КС-2;КС-3;КС-4;КС-5;КС-6;КС-7;В-1;В-2;В-3;В-4;В-5;В-6;В-7";"КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5";;;11.04;3.1.5;"11.01;11.02;11.03";"1.10;1.10.1;1.10.2;1.10.4;1.10.5;1.13.1;3.1;3.1.1;3.1.2;3.1.4;3.1.5"
2420.7;Відвали гірничих розробок;"В-1;В-2;В-3;В-4;В-5;В-6;В-7";"В-1;В-2;В-3;В-4;В-5";;;11.01;"1.10.1;3.1.1";;
